date,Argentina,Bolivia,Chile,Colombia,Costa Rica,Cuba,Ecuador,Germany,Italy,Mexico,Portugal,Spain,United States,Uruguay,Venezuela
2019-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2020-01-28,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0
2020-01-29,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0
2020-01-30,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0
2020-01-31,0,0,0,0,0,0,0,5,3,0,0,0,6,0,0
2020-02-01,0,0,0,0,0,0,0,7,3,0,0,1,7,0,0
2020-02-02,0,0,0,0,0,0,0,8,3,0,0,1,8,0,0
2020-02-03,0,0,0,0,0,0,0,9,3,0,0,1,11,0,0
2020-02-04,0,0,0,0,0,0,0,11,3,0,0,1,11,0,0
2020-02-05,0,0,0,0,0,0,0,11,3,0,0,1,11,0,0
2020-02-06,0,0,0,0,0,0,0,11,3,0,0,1,12,0,0
2020-02-07,0,0,0,0,0,0,0,12,3,0,0,1,12,0,0
2020-02-08,0,0,0,0,0,0,0,13,3,0,0,1,12,0,0
2020-02-09,0,0,0,0,0,0,0,13,3,0,0,1,12,0,0
2020-02-10,0,0,0,0,0,0,0,13,3,0,0,2,12,0,0
2020-02-11,0,0,0,0,0,0,0,13,3,0,0,2,13,0,0
2020-02-12,0,0,0,0,0,0,0,15,3,0,0,2,13,0,0
2020-02-13,0,0,0,0,0,0,0,15,3,0,0,2,14,0,0
2020-02-14,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-15,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-16,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-17,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-18,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-19,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-20,0,0,0,0,0,0,0,15,3,0,0,2,15,0,0
2020-02-21,0,0,0,0,0,0,0,15,3,0,0,2,16,0,0
2020-02-22,0,0,0,0,0,0,0,15,17,0,0,2,35,0,0
2020-02-23,0,0,0,0,0,0,0,15,79,0,0,2,35,0,0
2020-02-24,0,0,0,0,0,0,0,15,132,0,0,2,35,0,0
2020-02-25,0,0,0,0,0,0,0,15,229,0,0,3,53,0,0
2020-02-26,0,0,0,0,0,0,0,17,322,0,0,7,53,0,0
2020-02-27,0,0,0,0,0,0,0,21,400,0,0,12,59,0,0
2020-02-28,0,0,0,0,0,0,0,47,650,0,0,25,60,0,0
2020-02-29,0,0,0,0,0,0,0,57,888,2,0,34,66,0,0
2020-03-01,0,0,0,0,0,0,1,111,1128,4,0,66,69,0,0
2020-03-02,0,0,0,0,0,0,6,129,1689,5,0,83,89,0,0
2020-03-03,0,0,0,0,0,0,7,157,2036,5,2,114,103,0,0
2020-03-04,0,0,0,0,0,0,8,196,2502,5,4,151,125,0,0
2020-03-05,1,0,3,0,0,0,10,262,3089,6,5,200,159,0,0
2020-03-06,2,0,4,0,0,0,13,400,3858,6,9,261,233,0,0
2020-03-07,8,0,5,1,1,0,13,684,4636,7,13,374,338,0,0
2020-03-08,9,0,7,2,3,0,14,847,5883,7,21,430,433,0,0
2020-03-09,12,0,10,2,5,0,14,902,7375,7,30,589,554,0,0
2020-03-10,17,0,13,3,9,0,15,1139,9172,8,39,1204,754,0,0
2020-03-11,19,0,17,6,13,0,17,1296,10149,9,41,1639,1025,0,0
2020-03-12,25,2,23,9,22,3,19,1567,12462,11,59,2140,1312,0,0
2020-03-13,31,3,33,12,23,3,20,2369,15113,16,78,3004,1663,0,0
2020-03-14,34,10,43,16,26,4,23,3062,17660,26,112,4231,2174,0,0
2020-03-15,45,10,61,34,27,4,28,3795,21157,41,169,5753,2951,6,10
2020-03-16,56,11,75,45,35,5,37,4838,23980,53,245,7753,3774,8,15
2020-03-17,65,11,156,57,41,6,58,6012,27980,82,331,9191,4661,29,33
2020-03-18,79,12,201,65,50,7,111,7156,31506,93,448,11178,6427,50,33
2020-03-19,97,12,238,102,69,11,168,8198,35713,118,642,13716,9415,79,33
2020-03-20,128,15,342,128,87,16,199,14138,41035,164,785,17147,14250,94,33
2020-03-21,158,19,434,158,113,21,426,18187,47021,203,1020,19980,19624,110,36
2020-03-22,225,20,537,210,117,25,532,21463,53578,251,1280,24926,26747,135,36
2020-03-23,266,27,632,235,134,35,789,24774,59138,316,1600,28572,35206,158,36
2020-03-24,301,28,746,306,158,40,981,29212,63927,367,2060,33089,46442,162,84
2020-03-25,387,32,922,378,177,48,1082,31554,69176,405,2362,39673,55231,189,91
2020-03-26,502,39,1142,470,201,57,1211,36508,74386,475,2995,47610,69194,217,106
2020-03-27,589,61,1306,491,231,67,1403,42288,80539,585,3544,56188,85991,238,107
2020-03-28,690,74,1610,539,263,80,1627,48582,86498,717,4268,64059,104686,238,119
2020-03-29,745,81,1909,608,295,119,1835,52547,92472,848,5170,72248,124665,259,119
2020-03-30,820,96,2139,702,314,139,1890,57298,97689,993,5962,78797,143025,295,119
2020-03-31,966,107,2449,798,330,170,1966,61913,101739,1094,6408,85195,164620,324,135
2020-04-01,966,115,2738,906,347,186,2302,67366,105792,1215,7443,94417,189618,330,135
2020-04-02,1133,123,3031,1065,375,212,2758,73522,110574,1378,8251,102136,216721,341,143
2020-04-03,1133,132,3404,1161,396,233,3163,79696,115242,1510,9034,110238,245540,359,144
2020-04-04,1265,139,3737,1267,416,269,3368,85778,119827,1688,9886,117710,277965,371,144
2020-04-05,1451,157,4161,1406,435,288,3465,91714,124632,1890,10524,124736,312237,390,144
2020-04-06,1554,183,4471,1485,454,320,3646,95391,128948,2143,11278,130759,337635,407,148
2020-04-07,1628,194,4815,1579,467,350,3747,99225,132547,2439,11730,135032,368196,411,159
2020-04-08,1715,210,5116,1780,483,396,3995,103228,135586,2785,12442,140510,398809,417,166
2020-04-09,1795,264,5546,2054,502,457,4450,108202,139422,3181,13141,146690,432132,426,167
2020-04-10,1894,268,5972,2223,539,515,4965,113525,143626,3441,13956,152446,466033,433,171
2020-04-11,1975,276,6501,2473,558,564,7161,117658,147577,3844,15472,157022,501560,446,175
2020-04-12,2137,300,6927,2709,577,620,7257,120479,152271,4219,15987,161852,529951,453,175
2020-04-13,2203,330,7213,2776,595,669,7466,123016,156363,4661,16585,166019,557571,465,181
2020-04-14,2272,354,7525,2852,612,726,7529,125098,159516,5014,16934,169496,582594,472,189
2020-04-15,2432,397,7917,2979,618,766,7603,127584,162488,5399,17448,177464,609516,483,193
2020-04-16,2432,441,8273,3105,626,814,7858,130450,165155,5847,18091,181504,639664,493,197
2020-04-17,2560,465,8807,3233,642,862,8225,133830,168941,6297,18841,185904,671331,502,204
2020-04-18,2658,493,9252,3439,649,923,8450,137439,172434,6875,19022,190008,702164,508,227
2020-04-19,2828,520,9730,3621,655,986,9022,139897,175925,7497,19685,188578,735086,517,227
2020-04-20,2930,564,10088,3792,660,1035,9468,141672,178972,8261,20206,191163,759687,528,256
2020-04-21,3020,598,10507,3977,662,1087,10128,143457,181228,8772,20863,194515,787752,535,256
2020-04-22,3132,609,10832,4149,669,1137,10398,145694,183957,9501,21379,197142,825041,543,285
2020-04-23,3276,672,11296,4356,681,1189,10850,148046,187327,10544,21982,200194,842629,549,288
2020-04-24,3423,703,11812,4561,687,1235,11183,150383,189973,11633,22353,202961,869172,557,298
2020-04-25,3423,807,12306,4881,687,1285,11183,152438,192994,12872,23271,205905,890524,563,318
2020-04-26,3767,866,12858,5142,693,1337,11183,154175,195351,13842,23683,207634,939053,596,323
2020-04-27,3767,950,13331,5379,695,1369,22719,155193,197675,14677,23846,209465,965910,606,325
2020-04-28,3990,1014,13813,5597,697,1389,23240,156337,199414,15529,24144,210773,988451,620,329
2020-04-29,4114,1053,14365,5949,705,1437,24258,157641,201505,16752,24324,212917,1012583,625,329
2020-04-30,4272,1110,14885,6211,713,1467,24675,159119,203591,17799,24692,213435,1039909,630,331
2020-05-01,4415,1167,16023,6507,719,1501,24934,159119,205463,19224,24987,215216,1069826,643,333
2020-05-02,4519,1229,17008,7006,725,1537,26336,161703,207428,20739,25351,216582,1103781,648,335
2020-05-03,4668,1470,18435,7285,733,1611,27464,162496,209328,22088,25190,217466,1133069,652,345
2020-05-04,4770,1594,19663,7668,739,1649,29538,163175,210717,23471,25524,218011,1158041,655,357
2020-05-05,4874,1681,20643,7973,742,1668,31881,163860,211938,24905,25524,219329,1180634,657,361
2020-05-06,5007,1802,22016,8613,755,1685,31881,164897,213013,26025,25702,220325,1204475,670,367
2020-05-07,5195,1886,23048,8959,761,1703,29420,166091,214457,27634,26182,221447,1228603,673,379
2020-05-08,5358,2081,24581,9456,765,1729,30298,167300,215858,29616,26715,222857,1256972,684,381
2020-05-09,5598,2266,25972,10051,773,1741,28818,168551,217185,31522,27268,223578,1283929,694,388
2020-05-10,5763,2437,27219,10495,780,1754,29071,169218,218268,33460,27406,224390,1309541,702,402
2020-05-11,5776,2556,28866,11063,792,1766,29559,169575,219070,35022,27581,,1329799,707,414
